titulo,data,autoria,tags,principal,texto,label
Lula é hostilizado no Mercado Público de Porto Alegre/Florianópolis em 2022 #boato,13/06/2022,Edgard Matsuki,Eleições 2022;Lula,Boato – Vídeo mostra o momento em que o ex-presidente Lula é vaiado e chamado de ladrão no Mercado Público de Porto Alegre (ou Florianópolis) no ano de 2022.,O que não tem faltado em termos de fake news na Internet são as notícias falsas que tentam promover a tese (também falsa) de que manifestações de pessoas nas ruas desmentem os números dos institutos de pesquisa. Hoje vamos falar de um caso “2 em 1”.,1
Olavo de Carvalho escreve texto sobre o que vai acontecer com a vitória de Bolsonaro em 2022 #boato,08/06/2022,Edgard Matsuki,Eleições 2022;Olavo de Carvalho,"Boato – Antes de morrer, Olavo de Carvalho escreveu uma lista do que vai acontecer com a vitória de Bolsonaro nas eleições de 2022. Ele fala como “vai cair o esquema do PT e da esquerda”.","Estamos chegando em um momento no qual o “pedido de votos” está cada vez mais explícito em redes sociais. Neste quadro, até mensagens antigas estão sendo compartilhadas como atuais. É o caso da história de hoje, que cita o nome de Olavo de Carvalho.",1
Presidente da Coreia do Sul presenteia Bolsonaro e ora com presidente do Brasil #boato,13/06/2022,Kyene Becker,Eleições 2022,Boato – Vídeo mostra presidente da Coreia do Sul orando junto com Bolsonaro e dando presentes ao presidente do Brasil. ,"Internacionalmente, a imagem do Brasil não anda boa e os maus olhos para o país já começam a aparecer. O sumiço do indigenista Bruno Pereira e do jornalista inglês Dom Phillips acendeu um sinal de preocupação, com instituições internacionais cobrando mais esforços do Brasil para encontrar os dois homens.",1
Manifestantes fazem protesto contra Lula em Passo Fundo em 2022 #boato,11/06/2022,Edgard Matsuki,Eleições 2022;Lula,Boato – Vídeo mostra protesto que prova que institutos de pesquisa estão errados. Manifestantes em Passo Fundo fizeram um protesto contra Lula em 2022.,Já falamos inúmeras vezes que um dos tipos de fake news mais comuns na Internet são os relacionados a vídeos retirados de contexto. É o caso de mais uma história que circula online e aponta para o ex-presidente Lula.,1
Bolsonaro é flagrado bêbado em evento nos Estados Unidos #boato,13/06/2022,Edgard Matsuki,Eleições 2022;Jair Bolsonaro,Boato – Vídeo que mostra o presidente Jair Bolsonaro se desequilibrando durante evento nos Estados Unidos prova que ele estava bêbado.,"Como já falamos por aqui, algumas notícias falsas que circulam na Internet visam, prioritariamente, atacar alguns pontos do caráter pessoal de candidatos. É o caso da história de hoje, que aponta para uma “peculiaridade” do presidente Jair Bolsonaro.",1
Lula é chamado de ladrão e vaiado em visita ao shopping Del Rey em Belo Horizonte #boato,10/05/2022,Edgard Matsuki,Eleições 2022;Lula,"Boato – O ex-presidente Lula foi testar a sua popularidade no shopping Del Rey, em Belo Horizonte. Aí o povo o vaiou e começou a chamar ele de ladrão.",Falamos há algumas semanas no ,1
Voto parcial (só para presidente) será considerado anulado nas eleições 2022 #boato,07/05/2022,Edgard Matsuki,Clássico;Eleições 2022,"Boato – Se a pessoa votar apenas para presidente e votar em branco para outros cargos, o voto será considerado como “voto parcial” e será anulado nas eleições de 2022.","Esse período “pré-eleitoral” tem nos mostrado uma coisa: muito do que foi desmentido em outras eleições (como, por exemplo, em 2018) terá que ser desmentido novamente em 2022. Hoje, temos mais um exemplo disso: uma história que fala sobre uma suposta regra das eleições.",1
Erika Kokay do PT denuncia fraude nas urnas eletrônicas #boato,07/06/2022,Edgard Matsuki,Eleições 2022;Erika Kokay;Urnas eletrônicas,"Boato – Assim como político cassado, a deputada federal do PT Erika Kokay denunciou fraude nas urnas eletrônicas nas eleições de 2018.","Assim como nas últimas eleições, uma das teses falsas relacionadas à política que mais tem circulado na Internet é a que aponta que as urnas eletrônicas são fraudadas. Por causa de acusações desta natureza, o deputado estadual pelo Paraná Fernando Francischini acabou cassado pelo TSE.",1
"Bolsonaro diz “e daí, não sou cozinheiro” sobre volta da fome no Brasil #boato",09/06/2022,Edgard Matsuki,Eleições 2022;Jair Bolsonaro,"Boato – Depois de estudo mostrar que 33 milhões de pessoas passam fome no Brasil, o presidente Jair Bolsonaro disse “e daí, não sou cozinheiro”.",Um estudo divulgado no dia 8 de junho de 2022 virou notícia em diversos portais de notícias. ,1
Hino Nacional foi cantado errado durante lançamento da pré-campanha de Lula #boato,11/05/2022,Kyene Becker,Eleições 2022;Lula,Boato – Vídeo mostra mulher cantando o Hino Nacional do Brasil errado durante abertura do lançamento da pré-campanha de Lula,"O arquivamento, anulamento e suspensão dos casos contra o ex-presidente Luiz Inácio Lula da Silva têm dado o que falar há algum tempo. Em março de 2022, ",1
