titulo,vinheta,tempo,data_explicita,autoria,lead,principal,texto,label
Tá em dúvida? Pesquise aqui o que é #FATO ou #FAKE, Fato ou fake ,Há 1 semana,,,,,,2
O que é #FATO ou #FAKE sobre o coronavírus,,Há 2 anos,,,"Vídeos, áudios e posts têm viralizado nas redes sociais. Confira as checagens.",,,2
Veja o que é #FATO ou #FAKE no discurso de Bolsonaro na IX Cúpula das Américas, Fato ou Fake ,Há 4 dias, 10/06/2022 ," Por Victor Farias e Roney Domingos, g1 ",Presidente brasileiro fez discurso nesta sexta-feira (10) durante o evento em Los Angeles (EUA) ,, O presidente Jair Bolsonaro fez um discurso nesta sexta-feira (10) na IX Cúpula das Américas em Los Angeles (EUA). Ele defendeu a política ambiental do governo brasileiro e ,2
É #FAKE que vídeo de dançarinos seminus com laser nas nádegas mostre alunos da UFRJ, Fato ou Fake ,Há 5 dias, 09/06/2022 ," Por Roney Domingos, g1 ","Imagens foram feitas pelo grupo Young Boy Dancing Group, de Zurique, na Suíça, que reúne dançarinos contemporâneos de toda a Europa e faz apresentações que são uma mistura de queer e tecno-futurismo. "," Circula nas redes sociais um vídeo que mostra uma performance de bailarinos seminus que usam dispositivos de laser acoplados em suas nádegas como parte da apresentação. Uma legenda afirma: ""Veja aí um trabalho de sociologia e filosofia de vida apresentado pelos alunos de Sociologia/Filosofia da UFRJ - Universidade Federal do Rio de Janeiro"". É #FAKE. ", O vídeo não mostra estudantes da Universidade Federal do Rio de Janeiro. As cenas são protagonizadas pelo grupo de dança ,1
É #FAKE que Lula disse que em seu governo Bíblia vai adotar pronome neutro e não terá mais o nome de Jesus, Fato ou Fake ,Há 22 horas, 13/06/2022 ," Por Roney Domingos, g1 ",g1 não publicou reportagem com esse título. Imagem que circula nas redes sociais é uma montagem obtida por meio de fraude.," Circula pelas redes sociais uma imagem que imita a página do g1 com o título: ""Lula diz: 'No meu governo, Bíblia vai adotar pronome neutro e não terá mais o nome de Jesus'. É #FAKE. ", O,1
É #FAKE que Maria da Penha ficou paraplégica em assalto e não ao ser baleada pelo marido, Fato ou Fake ,Há 15 horas, 13/06/2022 ," Por Roney Domingos, g1 ",Marido foi condenado e cumpriu pena pelo crime. Caso foi tão flagrante que levou o Brasil a ser condenado em tribunal internacional e mudar lei para proteger mulheres da violência doméstica.," Circulam pelas redes sociais mensagens que afirmam que Maria da Penha, a mulher que deu nome à lei i "," A mensagem falsa diz: """,1
"Veja o que é #FATO ou #FAKE na entrevista de Ciro Gomes para o podcast 'O Assunto', do g1", Eleições ,Há 16 horas, 13/06/2022 ," Por Por G1, TV Globo, GloboNews, O Globo, Extra, CBN e Valor ","Pedetista abriu, nesta segunda-feira (13), série de entrevistas comandadas por Renata Lo Prete, apresentadora do podcast ‘O Assunto’, com pré-candidatos à Presidência da República. Entrevista foi transmitida ao vivo direto do estúdio do g1, em São Paulo.",," O candidato do PDT à Presidência, ",2
É #FAKE que Gusttavo Lima recebeu R$ 320 milhões do BNDES, Fato ou Fake ,Há 4 dias, 10/06/2022 , Por O Globo ,Publicação que circula nas redes diz que empresa que administra carreira do sertanejo pegou dinheiro emprestado, Uma publicação que afirma que o cantor Gusttavo Lima recebeu R$ 320 milhões do Banco Nacional de Desenvolvimento Social circula pelas redes sociais. É #FAKE. ," Na realidade, o financiamento do banco foi feito a um fundo de investimentos sem ligação com a carreira do sertanejo. ",1
É #FAKE que vídeo mostre ações militares da Venezuela e Rússia na fronteira com o Brasil , Fato ou Fake ,Há 1 mês, 12/05/2022 ," Por Roney Domingos, g1 ",Publicação viral no Tik Tok é uma coleção de vídeos e imagens fora de contexto. Legendas e áudios disseminam alegações falsas., Circula nas redes sociais um vídeo acompanhado de uma legenda que afirma que Venezuela e Rússia fazem exercícios militares na fronteira com o Brasil. É #FAKE ," O título da publicação no Tik Tok diz: """,1
É #FAKE que g1 publicou reportagem afirmando que cantora Simone perdeu 14kg após tomar uma cápsula de remédio para emagrecer, Fato ou Fake ,Há 1 mês, 08/06/2022 ," Por Roney Domingos, g1 ",g1 não publicou reportagem com esse título e conteúdo. Publicação fraudulenta simula página do g1 e tem erros que apontam sua falsidade. , Circula pelas redes sociais uma suposta reportagem do , O,1
